Time,Volume,Open,High,Low,Close
2020-05-14T00:45:40.000000000Z,1,7.75098,7.75098,7.75098,7.75098
2020-05-14T00:51:35.000000000Z,2,7.75096,7.75098,7.75096,7.75098
2020-05-14T00:53:15.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:54:00.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:54:30.000000000Z,1,7.75098,7.75098,7.75098,7.75098
2020-05-14T00:57:50.000000000Z,5,7.75098,7.75104,7.75098,7.75104
2020-05-14T00:57:55.000000000Z,1,7.75105,7.75105,7.75105,7.75105
2020-05-14T00:58:00.000000000Z,1,7.75104,7.75104,7.75104,7.75104
2020-05-14T00:58:20.000000000Z,1,7.75103,7.75103,7.75103,7.75103
2020-05-14T00:58:35.000000000Z,3,7.75104,7.75105,7.75104,7.75104
2020-05-14T00:59:35.000000000Z,2,7.75106,7.75107,7.75106,7.75107
2020-05-14T00:59:40.000000000Z,1,7.75106,7.75106,7.75106,7.75106
2020-05-14T01:00:50.000000000Z,3,7.75108,7.75110,7.75108,7.75110
2020-05-14T01:00:55.000000000Z,1,7.75110,7.75110,7.75110,7.75110
2020-05-14T01:01:35.000000000Z,2,7.75108,7.75108,7.75108,7.75108
2020-05-14T01:02:25.000000000Z,4,7.75108,7.75116,7.75108,7.75116
2020-05-14T01:02:30.000000000Z,4,7.75118,7.75121,7.75118,7.75121
2020-05-14T01:02:45.000000000Z,2,7.75119,7.75119,7.75116,7.75116
2020-05-14T01:03:25.000000000Z,3,7.75114,7.75114,7.75113,7.75113
2020-05-14T01:03:35.000000000Z,1,7.75112,7.75112,7.75112,7.75112
2020-05-14T01:05:05.000000000Z,2,7.75112,7.75112,7.75112,7.75112
2020-05-14T01:07:35.000000000Z,1,7.75111,7.75111,7.75111,7.75111
2020-05-14T01:09:10.000000000Z,1,7.75111,7.75111,7.75111,7.75111
2020-05-14T01:15:15.000000000Z,1,7.75113,7.75113,7.75113,7.75113
2020-05-14T01:15:30.000000000Z,1,7.75112,7.75112,7.75112,7.75112
